"PRO_NUMERO","PRO_NOMBRE","PRO_DOMICI","PRO_LOCALI","PRO_PROVIN","PRO_CODPOS","PRO_TELEFO","PRO_REPRES","PRO_JEFEVE","PRO_CUIT","PRO_CODIVA","PRO_FEULCO","PRO_MONEDA","PRO_ULISTA","PRO_MEMO","PRO_RUBRO","PRO_ZONA","PRO_SALDAC","PRO_CTACTE","PRO_CODGAN","PRO_CPRSUS","PRO_GANAN","PRO_CONVTA","PRO_INGBTO","PRO_INGBRO"
"4","blo","Avda.ADER 1764","LA ADELINA",2,1607,"OFICINA:    4735-3099","OFICINA4765-4962/47353099","CELULAR: 15-5000-3338","20-04560473-0",1,07/04/2011,1,,,11,0,"-152,87","S",1,"N",6,3,1,
"5","OSTEON S.A.","MARENGO 3945","VILLA BALLESTER",2,1653,"4738-4600/6339-4600","170-123 LABORAL","SERGIO PORCELINI","30-62829148-5",1,01/11/2010,1,,,31,0,"-178,17","S",1,"N",6,3,1,
"7","GALVANOPLASTIA PUEYRREDON","PAVON 1467","SAN MIGUEL",2,1663,"664-6212 667-1908.","PART.664-8037","LEDESMA MIGUEL 759-6423","30-62427748-8",1,20/08/2002,1,,,11,0,"0,00","S",1,"N",6,0,0,
"10","***MARCELO**/*",,,1,0,,,,,0,,1,,,30,0,"0,00","S",1,"N",0,0,1,
"12","PLASTI S.A.","BERON DE ASTRADA 2243/5","CAP.FED",1,0,"4918-8087/7088/*7089* (3)","MAXIMO  0800-999-4071 I:6","TALLER:RUIZ","30-61650899-3",1,01/05/2005,1,,,11,0,"0,00","S",1,"N",6,9,0,
"13","ENVAPOL","AYACUCHO 2856","SAN ANDRES",2,1651,"4752-3060/4755-6712/0839","MARIELA/SILVINA INT 16","ENVAPOL@HOTMAIL.COM","20-04573043-4",1,01/11/2003,1,,,11,0,"0,00","S",1,"N",6,0,0,
"15","ORTIZ Y CIA. S.A.","AV.DON BOSCO 5195","CORDOBA",3,5003,"0351-4841816/4841278/8408","0351-4843721/4840765.F150","CTA CTE = NATALIA","30-50369757-9",1,01/02/2006,1,,,11,0,"0,00","S",1,"N",6,0,0,
"16","DISTR.SIDERO METAL. S.A.","CALLE 110 Nº4765","VILLA BALLESTER",2,1653,"4764-1547/1827","ANDREA",,"30-57472122-5",1,26/10/2009,1,,,11,0,"0,00","S",1,"N",6,3,1,
"17","SAPRIME S.A.","AV.DON BOSCO 5195","V.MAFEKIN",3,5195,"051-800765/800825/803721",,,"30-61328929-8",1,01/08/2001,1,,,11,0,"-142,67","S",4,"N",6,0,1,
"18","ABILCAR DE CARLOS BURD","TRES ARROYOS 814","CAPITAL FEDERAL",1,1414,"4584-9209/15-4062-8885","CARLOS BURD","CARLOS BURD","20-12667411-3",1,,2,,,11,0,"0,00","N",1,"N",6,9,1,
"20","ACINDAR IND.ARG.ACER S.A.","ESTANISLAO ZEBALLOS 2739","BOULONGNE",2,1609,"4719-8500 / 0800-5558826","0341-4576998 INT 6294SANC",,"30-50119925-3",1,11/09/2001,1,,,11,0,"27228,83","S",4,"N",0,0,1,
